    1,PC2,PC3,id,color
M82_Lung_24M_F10_6,10.7534788313826,-11.4746170133948,4.02559164042716,M82_Lung_24M_F10_6,#ffffb3
M83_Lung_18M_F10_4,-14.0801189663351,-7.31303185252564,-1.35367431572616,M83_Lung_18M_F10_4,#ffffb3
M85_Lung_18M_F10_6,-3.44775626495488,-8.61075147456486,3.65456301910274,M85_Lung_18M_F10_6,#ffffb3
M87_Lung_12M_F10_5,9.41065378867587,-6.89350644694908,-6.19190143289879,M87_Lung_12M_F10_5,#ffffb3
M88_Lung_12M_F10_6,9.62320471377048,-5.86671295052157,-3.96922638523558,M88_Lung_12M_F10_6,#ffffb3
M89_Lung_09M_F10_4,-13.3109052634334,-4.01098727214524,-8.60227373441882,M89_Lung_09M_F10_4,#ffffb3
M90_Lung_09M_F10_5,-13.9663497075673,2.68309001960444,-6.27842489642286,M90_Lung_09M_F10_5,#ffffb3
M91_Lung_09M_F10_6,-0.882995159212963,-4.84366117132398,-8.63716930232276,M91_Lung_09M_F10_6,#ffffb3
M92_Lung_04M_F10_4,3.09703276936002,-0.525319448153317,-3.40380395806073,M92_Lung_04M_F10_4,#ffffb3
M93_Lung_04M_F10_5,-12.8322023090461,-0.537094082098326,-18.585386359552,M93_Lung_04M_F10_5,#ffffb3

